ID,Anzahl,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Lübeck,15,"Schmidtke, Dr. Claudia (CDU - Ärztin, Professorin - Lübeck)","Klüssendorf, Tim (SPD - Volks- und Betriebswirt - Lübeck)","Stegemann, Heike Margit (FDP - Bilanzbuchhalterin - Lübeck)","Hönel, Bruno (GRÜNE - Psychologie, Student - Lübeck)","Jenniches, David (AfD - Dipl.-Volkswirt - Lübeck)","Tankacheyev, Emil (DIE LINKE - Schüler - Lübeck)","Schacht, Alexander Sebastian (Die PARTEI - Softwareentwickler - Lübeck)","Voht, Gregor (FREIE WÄHLER - Unternehmer - Lübeck)","Möller, Lüder Paul Wilhelm (MLPD - Maschinenschlosser - Lübeck)","Kemper, Uta (dieBasis - Verwaltungsangestellte - Seedorf)","Link, Wilfried Emil (DKP - staatl. geprüfter Landwirt - Lübeck)","Wobusa, Jennifer (du. - Erzieherin - Lübeck)","Nielsen, Lutz Artur Heinz (LKR - Kaufmann - Lübeck)","Sánchez Copano, Fabio (Volt - Notfallsanitäter - Lübeck)","Kerkhoff, Thorsten (Einzelbewerbung - Immobilienmakler - Dassow)",null,null,null
Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,11,"Monstadt, Dietrich (CDU - MdB, Rechtsanwalt - Schwerin)","Beckmann, Steffen (AfD - Geschäftsführer - Schwerin)","Latendorf, Ina (DIE LINKE - Juristin - Plate)","Alabali-Radovan, Reem (SPD - Integrationsbeauftragte - Schwerin)","Meffert, Yannik (FDP - wiss. Mitarbeiter - Schwerin)","Tamm, Claudia (GRÜNE - Krankenschwester - Wismar)","Stoffers, Dr. Alrik (Die PARTEI - Chemiker - Schwerin)","Klähn, Anja (FREIE WÄHLER - Betriebswirtin - Schwerin)","Beckmann, Bert (MLPD - Elektriker - Schwerin)","Gericke, Fritz Wolfgang Eberhard (dieBasis - selbstständig, Dipl.-Ingenieur - Grevesmühlen)","Jagau, Karsten Erich Theodor (PIRATEN - Pflegelehrer - Schwerin)",null,null,null,null,null,null,null
Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,9,"Borchardt, Simone (CDU - Geschäftsbereichsleiterin Pflege - Warnow)","Mrachacz, Andreas-Michael (AfD - Dipl.-Mediziner, Facharzt Pathologie - Lübow)","Keller, Judith (DIE LINKE - Schulsozialarbeiterin - Roggendorf)","Junge, Frank Michael (SPD - MdB, Dipl.-Sportlehrer - Wismar)","Bohl, Daniel (FDP - Dipl.-Ing. agr. Landwirt - Jesendorf)","Mölau, Martin (GRÜNE - Industriekaufmann - Hornstorf)","Neitzel, Torsten (FREIE WÄHLER - Tischler - Schorssow)","Zajonc, Stephanie Gisela Rosa (dieBasis - Sekretärin - Bad Doberan)","Löwe, Dr. Rainer (Einzelbewerbung - Arzt - Wismar)",null,null,null,null,null,null,null,null,null
Rostock – Landkreis Rostock II,11,"Stein, Peter (CDU - Mitglied des Deutschen Bundestages - Mönchhagen)","Pontow, Tobias (AfD - Betriebswirt, Referent - Parchim)","Bartsch, Dr. Dietmar Gerhard (DIE LINKE - Mitglied des Deutschen Bundestages - Prerow)","Zschau, Katrin (SPD - Landesgeschäftsführerin - Rostock)","Reinhold, Hagen (FDP - Maurer- und Betonbaumeister - Barth)","Tesche, Andreas (GRÜNE - Regierungsdirektor - Rostock)","Jörn, Seraphine Antonia (Tierschutzpartei - Schülerin - Rostock)","Dubberke, Christine (FREIE WÄHLER - kaufm. Angestellte - Lambrechtshagen)","Dunst, Eric (MLPD - Gesundheits- und Krankenpfleger - Rostock)","Kreft, Dr. Susanne Franziska Gertrud (dieBasis - Ärztin - Rostock)","Rühmann, Jan-Peter (PIRATEN - PC-Servicetechniker - Cammin)",null,null,null,null,null,null,null
Vorpommern-Rügen – Vorpommern-Greifswald I,12,"Günther, Georg (CDU - Dipl.-Finanzwirt (FH) - Süderholz)","Holm, Leif-Erik (AfD - Ökonom (M. Sc.), Journalist - Schwerin)","Kassner, Kerstin (DIE LINKE - Dipl.-Ökonomin - Bergen auf Rügen)","Kassautzki, Anna Katharina (SPD - Leiterin Familienservice - Greifswald)","Adler, Sebastian (FDP - Bankkaufmann - Greifswald)","Müller, Claudia Heike (GRÜNE - Betriebswirtin - Fuhlendorf)","Gabel, Robert (Tierschutzpartei - Politikwissenschaftler - Greifswald)","Pistor, Mark Peter (Die PARTEI - Rechtsanwalt - Greifswald)","Holthusen, Heidelind (FREIE WÄHLER - Bildungsbegleiterin - Goldberg)","Schulze, Karl-Heinz (MLPD - Gärtner - Sassnitz)","Schmeller, Sylvio (dieBasis - Unternehmer - Bergen auf Rügen)","Smyra, Friedrich (PIRATEN - Pfleger - Stralsund)",null,null,null,null,null,null
Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,11,"Amthor, Philipp (CDU - MdB, Jurist - Ueckermünde)","Komning, Enrico (AfD - MdB, Rechtsanwalt - Neubrandenburg)","Jaschinski, Toni (DIE LINKE - Dipl.-Kaufmann - Neubrandenburg)","von Malottki, Erik (SPD - Gewerkschafter - Greifswald)","Bartelt, Christian (FDP - Zahnarzt - Spantekow)","Horn, Katharina (GRÜNE - Bootsbauerin - Greifswald)","Hübner, Anja (Tierschutzpartei - tiermed. Fachangestellte - Greifswald)","Andiel, Matthias (FREIE WÄHLER - Restaurator - Lassan)","Wodarg, Dr. Wolfgang (dieBasis - Arzt - Berlin)","Krüger, Sören (Einzelbewerbung - Student - Liepgarten)","Maus, Sophie (UNABHÄNGIGE - Unternehmerin Reisebüro - Trassenheide)",null,null,null,null,null,null,null
Mecklenburgische Seenplatte II – Landkreis Rostock III,8,"Bunge, Dr. Stephan (CDU - Verkehrsingenieur - Wulkenzin)","Schielke-Ziesing, Ulrike (AfD - Verwaltungswirtin - Groß Teetzleben)","Kanew, Amina Inèz (DIE LINKE - Angestellte - Neubrandenburg)","Arlt, Johannes (SPD - Berufsoffizier - Neustrelitz)","Schubert, Tobias (FDP - Produktionsmitarbeiter - Altenhof)","Jagszent, Falk (GRÜNE - Forstbeamter - Neustrelitz)","Gabbert, Klaus-Dieter (FREIE WÄHLER - Regionalleiter - Güstrow)","Goltz, Lena (MLPD - Geschäftsführerin - Alt Schwerin)",null,null,null,null,null,null,null,null,null,null
Hamburg-Mitte,13,"de Vries, Christoph Bernhard (CDU - MdB, Dipl.-Soziologe - Hamburg)","Droßmann, Falko (SPD - Bezirksamtsleiter - Hamburg)","Muja, Manuel (GRÜNE - Politikwissenschaftler - Hamburg)","Stoop, David Christopher (DIE LINKE - Angestellter - Hamburg)","Blum, James Robert (FDP - Kaufmann - Hamburg)","Jordan, Nicole (AfD - Rechtsanwaltsfachangestellte - Hamburg)","Ihlenfeld, Arne Gotthard (Die PARTEI - Künstler, Sozialpädagoge - Hamburg)","Reimer, Ralf (FREIE WÄHLER - Account Manager IT - Hamburg)","Bollien, Sebastian (ÖDP - Politikwissenschaftler - Hamburg)","Schwarzbach, Lennart Sebastian Stefan (NPD - Ingenieur - Hamburg)","Griesbaum, Joachim Robert Maria (MLPD - Schlosser - Hamburg)","Sommer, Dennis (dieBasis - Softwareentwickler - Hamburg)","Janoske-Kizildag, Odin (Einzelbewerbung - selbstständig - Hamburg)",null,null,null,null,null
Hamburg-Altona,12,"Weinberg, Marcus (CDU - Mitglied des Deutschen Bundestages - Hamburg)","Bartke, Dr. Matthias (SPD - Jurist - Hamburg)","Heitmann, Linda (GRÜNE - Geschäftsführerin in der Suchtkrankenhilfe - Hamburg)","Özdemir, Cansu (DIE LINKE - Studentin - Hamburg)","Henrici, Fabrice (FDP - Jurist - Hamburg)","Baumann, Dr. Bernd (AfD - Kaufmann - Hamburg)","Meincke, Daniel (FREIE WÄHLER - Leitstellendisponent - Hamburg)","Ahrens, Karlotta (ÖDP - Studentin - Hamburg)","Kölle, Christian Traugott (MLPD - Sozialpädagoge - Hamburg)","Zens, Ulrike (dieBasis - Unternehmensberaterin - Hamburg)","Kirsch, Frieder Ulrich (PIRATEN - Softwareentwickler - Hamburg)","Bultheel, Bérangère Joséphine (ÖLDP - Dipl.-Politikwissenschaftlerin - Hamburg)",null,null,null,null,null,null
Hamburg-Eimsbüttel,12,"Kruse, Rüdiger (CDU - Mitglied des Deutschen Bundestages - Hamburg)","Annen, Niels (SPD - Staatsminister im Auswärtigen Amt - Hamburg)","Steffen, Dr. Till Benjamin (GRÜNE - Rechtsanwalt - Hamburg)","Nastić, Zaklin Jadwiga (DIE LINKE - MdB, Angehörigenpflegerin - Hamburg)","Hümpel, Carolin Rebecca (FDP - Unternehmensberaterin - Hamburg)","Cremer-Thursby, Dr. Marc Frederic (AfD - Lehrer, Kunsthistoriker - Hamburg)","Sommer, Martin (Die PARTEI - Versicherungsmakler - Hamburg)","Feltz, Alexander Bruno Wilhelm (FREIE WÄHLER - Angestellter - Hamburg)","Lincke, Hannes (ÖDP - Chemiker im Vertrieb - Hamburg)","Wagner, Uwe Ulrich (MLPD - CNC-Fräser - Hamburg)","Meyer, Inke (dieBasis - Schiffsführerin - Hamburg)","Horn, Sören Alexander (Volt - Gastronom - Hamburg)",null,null,null,null,null,null
